rainfall,elevation,river_distance,historical_floods,urbanization,temperature,humidity,date,flood_hotspot
143.63502971184062,37.02658576772393,167.76755768115768,2,74.51794953696144,34.08943903927312,77.19034281168733,2020-01-01,1
287.67857660247904,108.38018947567163,161.1404595823999,8,7.6439861039447665,39.423814162437544,44.62249271426056,2020-01-02,1
232.99848545285127,174.58916717528166,457.8145612344665,4,89.58841811926595,28.17778586242742,48.3536887956912,2020-01-03,0
199.66462104925915,146.44497728191223,162.29578993227773,7,79.39293858599648,25.11125161252212,58.98807873392997,2020-01-04,1
89.00466011060914,161.31222957228994,172.37737675788395,6,15.830390010561434,36.352475891348845,33.79098581161359,2020-01-05,0
88.99863008405066,131.75667334214347,391.72921808808366,7,5.1785888732816865,38.57550369053796,66.66849139267477,2020-01-06,0
64.52090304204987,138.4553129035705,252.382929102743,6,55.73105753143085,32.636107477073814,89.02410202054546,2020-01-07,0
266.54403644373383,169.83913031306386,399.51975062983155,2,15.60358113399769,23.363587892028633,51.64837868268015,2020-01-08,0
200.2787529358022,49.93360177183719,79.41477090397336,1,83.4590952595272,27.766641979943213,75.17084850548304,2020-01-09,1
227.01814444901137,97.88499272862809,269.40703715302294,6,35.833465667167374,31.028060950539977,60.00203493417648,2020-01-10,1
55.14612357395061,44.241888363920445,65.12612008247719,2,91.28924447365753,15.828207130054043,37.66871066162297,2020-01-11,0
292.4774630404986,197.5336015993294,78.19394155490954,2,56.56881721410058,23.41603096649314,64.93424692815518,2020-01-12,1
258.11066020010543,188.81186793732266,457.8968540049849,1,18.267238423966813,34.89463794151855,47.9924561066439,2020-01-13,0
103.08477766956904,7.88536227370118,112.66041700291782,3,13.95988673598001,29.64176045495329,32.064192507207494,2020-01-14,1
95.45624180177515,141.11503450313768,289.5893070238477,7,57.64724375577539,22.336122016355624,68.09578380706463,2020-01-15,0
95.85112746335845,185.04966348313317,234.99302117031795,0,76.18836118624439,29.900876020440442,81.53594095948365,2020-01-16,0
126.06056073988444,36.11506902546671,206.3044968164792,0,78.15056477421821,13.546672362173796,50.68618601399245,2020-01-17,0
181.18910790805947,113.5890461105259,454.9250055592726,4,27.575740444128126,22.04492831694629,53.417732832766234,2020-01-18,0
157.98625466052894,183.09765951760838,59.82052854897027,4,20.424675891216747,33.79385613889169,83.46130097803268,2020-01-19,1
122.80728504951048,6.789195717159768,348.7053587790151,0,1.6756304492382412,16.61526361409944,78.81652880204135,2020-01-20,0
202.96322368059487,139.484053449368,483.52749539609766,5,67.91991512011694,15.578845226722532,72.89716941310664,2020-01-21,0
84.87346516301045,59.469801474510156,302.0756825578289,0,7.656825843353898,38.52455979749294,44.927823825188874,2020-01-22,0
123.03616213380454,184.8792390753061,471.5701079148913,4,42.07612017659258,16.296928887586922,84.61299929799867,2020-01-23,0
141.59046082342292,194.21164903307354,73.5160456787107,8,60.16821640182961,17.827557389505042,39.26494545235278,2020-01-24,0
164.01749605425897,188.85329782268678,238.45699358337262,4,93.71089449196771,39.088478167130134,67.60623116503331,2020-01-25,0
246.2939903482534,94.84284333149276,167.07100593292301,5,31.180213695576864,32.04125710795077,31.728070832791122,2020-01-26,1
99.91844553958992,172.4085301978627,378.8694342413284,7,24.977216244651977,30.987895990705844,68.62318837949675,2020-01-27,0
178.5586096034029,168.90987970701408,491.583690723761,0,65.41601542860984,35.587791515637434,46.62866111240159,2020-01-28,0
198.1036422155106,63.82009464865113,165.4385280999115,1,61.923903205358165,13.474692467103829,56.980618631023205,2020-01-29,1
61.61260317999943,165.78309483013547,344.3785706633335,8,33.21097833081246,31.178687097400214,50.71587312342319,2020-01-30,0
201.8862129753596,7.401526943098524,139.14393474188307,2,92.81018355097865,25.110658279847165,40.36540537477259,2020-01-31,1
92.63103092182288,119.2539756964106,304.39861455722445,5,84.48623274896327,34.87451920852419,67.31884740563245,2020-02-01,0
66.26289824631988,46.00176745754061,258.7696190097513,4,22.398254586508116,25.244251559955828,82.91853330843645,2020-02-02,0
287.2213843133333,24.113377155455762,487.4023983341917,1,23.91425454345232,28.607240628067363,87.5450545369442,2020-02-03,1
291.40800826863983,15.390640325841831,323.83727271340996,6,51.23003468870806,24.33226379198608,41.540781789234906,2020-02-04,1
252.09933702911528,139.25775517562795,207.27786743906844,3,77.35721017307203,24.344767706675324,73.0423664437784,2020-02-05,1
126.15344229334268,67.97499275361322,101.34310319957001,0,4.4040379388464395,33.03909934185495,69.86036199634094,2020-02-06,1
74.41802850159597,144.9533543057523,118.06107293072056,3,69.33351537347066,28.856992019418495,50.60266737447435,2020-02-07,0
221.05825662803923,13.071268159788474,151.3926184780558,5,64.82358973820969,28.997896048282314,31.14595196122355,2020-02-08,1
160.03812343490034,63.05806756612207,162.9349976031341,6,23.148009591298823,23.508474514945775,71.38747483877196,2020-02-09,1
80.5095587111947,107.89825847506745,432.777226028512,6,68.13530132413487,25.933284890125826,86.72969163357001,2020-02-10,0
